בנק ישראל,,,,,,,,
הפיקוח על הבנקים - היחידה למידע ולדיווח,,,,,,,,
,,,,,,,,
בנק,,"כרטיסי אשראי לישראל בע""מ",,,,,,
תאריך   דיווח,,31/03/2024,,,,,,
סוג מטבע,,ILS,,,,,,
,,,,,,,,
מספר לוח,,680-5,,,,,,
680-5,,,,,,,,
,680-5 דוח כספי רבעוני של סולק - דוח מאוחד על הרווח הכולל,,,,,,,
,680-5,,,,,,,
,,,,תקופה מדווחת,רבעון שנה קודמת,מצטבר מתחילת השנה,מצטבר מתחילת השנה הקודמת,שנה קודמת
,,,,(בלתי מבוקר),(בלתי מבוקר),(בלתי מבוקר),(בלתי מבוקר),(מבוקר)
,,,,1,1,2,2,2
,רווח נקי לפני ייחוס לבעלי זכויות שאינן מקנות שליטה,,1,"81,000.00","263,000.00","81,000.00","263,000.00","450,000.00"
,רווח נקי המיוחס לבעלי זכויות שאינן מקנות שליטה,,2,0.00,0.00,,,
,רווח נקי המיוחס לבעלי חברת כרטיסי האשראי,,3,"81,000.00","263,000.00","81,000.00","263,000.00","450,000.00"
,רווח (הפסד) כולל אחר לפני מיסים,התאמות בגין איגרות חוב זמינות למכירה לפי שווי הוגן נטו,4,0.00,0.00,,,
,,"התאמות מתרגום דוחות כספיים נטו, לאחר השפעת מס וגידורים",5,0.00,0.00,,,
,,התאמות של התחייבויות בגין הטבות לעובדים,6,"1,000.00","3,000.00","1,000.00","3,000.00","-19,000.00"
,,רווחים (הפסדים) נטו בגין גידורי תזרים מזומנים,7,0.00,0.00,,,
,,"רווח (הפסד) כולל אחר, לפני מיסים",8,"1,000.00","3,000.00","1,000.00","3,000.00","-19,000.00"
,השפעת המס המייחס,,9,0.00,0.00,0.00,0.00,"-4,000.00"
,"רווח (הפסד) כולל אחר לפני ייחוס לבעלי זכויות שאינן מקנות שליטה, לאחר מיסים",,10,"1,000.00","3,000.00","1,000.00","3,000.00","-15,000.00"
,"בניכוי רווח (הפסד) כולל אחר המיוחס לבעלי זכויות שאינן מקנות שליטה, לאחר מיסים",,11,0.00,0.00,,0.00,0.00
,"רווח כולל אחר המיוחס לבעלי חברת כרטיסי האשראי, לאחר מיסים",,12,"1,000.00","3,000.00","1,000.00","3,000.00","-15,000.00"
,הרווח הכולל לפני ייחוס לבעלי זכויות שאינן מקנות שליטה,,13,"82,000.00","266,000.00","82,000.00","266,000.00","435,000.00"
,הרווח הכולל המיוחס לבעלי זכויות שאינן מקנות שליטה,,14,0.00,0.00,,,
,הרווח הכולל המיוחס לבעלי חברת כרטיס אשראי,,15,"82,000.00","266,000.00","82,000.00","266,000.00","435,000.00"
